shooter_player_id,player_name,rebound_shots,rebound_goals,rebound_goal_rate,reb_gr_ci_lo,reb_gr_ci_hi,avg_x_coord_norm,avg_y_coord_norm,avg_time_gap_secs,current_team
8476479,Phillip Danault,88,23,0.2614,0.1809,0.3618,80.1,0.0,1.56,MTL
8473419,Brad Marchand,88,19,0.2159,0.1428,0.3128,78.2,2.3,1.75,FLA
8475784,Jeff Skinner,101,19,0.1881,0.1239,0.2752,79.6,0.2,1.73,SJS
8480027,Jason Robertson,92,19,0.2065,0.1364,0.3002,78.9,2.4,1.75,DAL
8475158,Ryan O'Reilly,74,17,0.2297,0.1487,0.3375,78.8,0.2,1.49,NSH
8475786,Zach Hyman,142,17,0.1197,0.0761,0.1834,80.1,0.9,1.62,EDM
8476887,Filip Forsberg,95,17,0.1789,0.1148,0.268,76.9,0.0,1.82,NSH
8477935,Sam Bennett,99,17,0.1717,0.1101,0.2579,80.3,0.7,1.59,FLA
8478420,Mikko Rantanen,77,17,0.2208,0.1427,0.3254,79.6,1.6,1.56,DAL
8478440,Dylan Strome,68,17,0.25,0.1623,0.3644,81.4,-0.8,1.69,WSH
8478498,Jake DeBrusk,92,17,0.1848,0.1187,0.2761,78.9,0.0,1.78,VAN
8475314,Anders Lee,140,16,0.1143,0.0716,0.1776,81.5,-0.1,1.4,NYI
8475799,Nino Niederreiter,117,16,0.1368,0.086,0.2106,80.2,1.5,1.56,WPG
8477409,Carter Verhaeghe,111,16,0.1441,0.0907,0.2214,79.2,0.4,1.58,FLA
8477476,Artturi Lehkonen,94,16,0.1702,0.1076,0.2587,79.2,0.5,1.59,COL
8477964,Ivan Barbashev,87,16,0.1839,0.1165,0.2781,79.8,1.1,1.7,VGK
8478057,Dakota Joshua,64,16,0.25,0.1601,0.3682,81.0,0.0,1.81,TOR
8478427,Sebastian Aho,83,16,0.1928,0.1223,0.2904,80.3,1.5,1.93,CAR
8478493,Joel Eriksson Ek,86,16,0.186,0.1179,0.2811,81.7,0.8,1.6,MIN
8478519,Anthony Cirelli,74,16,0.2162,0.1377,0.3227,80.7,0.9,1.65,TBL
8479542,Brandon Hagel,78,16,0.2051,0.1304,0.3075,78.0,1.8,1.83,TBL
8475151,Kyle Palmieri,66,15,0.2273,0.1429,0.3417,76.3,-1.0,1.82,NYI
8477942,Kevin Fiala,68,15,0.2206,0.1385,0.3326,78.8,1.6,1.91,LAK
8478046,Danton Heinen,75,15,0.2,0.1251,0.3041,80.7,0.8,1.6,CBJ
8478449,Roope Hintz,78,15,0.1923,0.1202,0.2934,79.4,1.7,1.58,DAL
8480459,Pius Suter,86,15,0.1744,0.1086,0.268,80.6,-0.4,1.5,STL
8481580,Connor McMichael,74,15,0.2027,0.1269,0.3079,81.6,-0.1,1.73,WSH
8476468,J.T. Miller,67,14,0.209,0.1288,0.3207,79.3,-0.3,1.58,NYR
8476826,Yanni Gourde,70,14,0.2,0.123,0.3082,79.9,0.7,1.54,TBL
8477493,Aleksander Barkov,74,14,0.1892,0.1162,0.2929,78.9,0.5,1.7,—
8477956,David Pastrnak,73,14,0.1918,0.1178,0.2966,74.5,2.5,1.81,BOS
8477987,Ryan Donato,63,14,0.2222,0.1372,0.3391,80.4,-0.4,1.65,CHI
8477998,Warren Foegele,94,14,0.1489,0.0908,0.2346,79.3,2.2,1.74,LAK
8478010,Brayden Point,77,14,0.1818,0.1115,0.2824,78.8,-0.3,1.7,TBL
8478233,Andrew Mangiapane,62,14,0.2258,0.1396,0.3441,80.3,0.5,1.61,EDM
8478398,Kyle Connor,67,14,0.209,0.1288,0.3207,78.1,2.4,1.79,WPG
8479318,Auston Matthews,119,14,0.1176,0.0714,0.1878,79.5,-0.5,1.61,TOR
8481535,Nils Hoglander,66,14,0.2121,0.1308,0.3251,79.2,-1.3,1.74,VAN
8471215,Evgeni Malkin,74,13,0.1757,0.1056,0.2777,80.0,1.2,1.76,PIT
8475745,Charlie Coyle,58,13,0.2241,0.1359,0.3466,81.4,2.3,1.4,CBJ
8477404,Jake Guentzel,101,13,0.1287,0.0768,0.2078,79.1,0.2,1.54,TBL
8477479,Tyler Bertuzzi,63,13,0.2063,0.1248,0.3217,78.0,-0.1,1.83,CHI
8478403,Jack Eichel,62,13,0.2097,0.1268,0.3264,78.4,3.0,1.76,VGK
8479365,Trent Frederic,96,13,0.1354,0.0809,0.218,79.7,-0.3,1.49,EDM
8480208,Drake Batherson,71,13,0.1831,0.1102,0.2885,75.9,1.7,1.97,OTT
8482113,Anton Lundell,65,13,0.2,0.1208,0.3127,80.0,1.6,1.63,FLA
8470638,Patrice Bergeron,47,12,0.2553,0.1525,0.3951,78.1,-0.6,1.72,—
8470794,Joe Pavelski,64,12,0.1875,0.1106,0.2997,79.6,-0.6,1.83,—
8474564,Steven Stamkos,59,12,0.2034,0.1204,0.3227,79.1,0.2,1.58,NSH
8475166,John Tavares,116,12,0.1034,0.0602,0.1721,80.8,0.9,1.52,TOR
8475726,Tyler Toffoli,65,12,0.1846,0.1089,0.2955,78.0,-1.5,1.66,SJS
8475913,Mark Stone,65,12,0.1846,0.1089,0.2955,79.6,0.8,1.66,VGK
8476392,Adam Lowry,91,12,0.1319,0.0771,0.2165,80.8,1.2,1.56,WPG
8476399,Blake Coleman,88,12,0.1364,0.0798,0.2234,81.1,1.7,1.52,CGY
8476432,Boone Jenner,75,12,0.16,0.094,0.2592,79.1,-0.3,1.51,CBJ
8476454,Ryan Nugent-Hopkins,81,12,0.1481,0.0868,0.2413,80.9,0.3,1.58,EDM
8476460,Mark Scheifele,69,12,0.1739,0.1024,0.2798,81.2,0.3,1.59,WPG
8476880,Tom Wilson,65,12,0.1846,0.1089,0.2955,77.9,-1.5,1.58,WSH
8476981,Josh Anderson,50,12,0.24,0.143,0.3741,79.5,0.4,1.48,MTL
8477497,Sean Monahan,63,12,0.1905,0.1125,0.3041,80.7,2.1,1.57,CBJ
8477500,Bo Horvat,69,12,0.1739,0.1024,0.2798,78.0,-2.2,1.51,NYI
8477934,Leon Draisaitl,51,12,0.2353,0.14,0.3676,81.1,-1.6,1.8,EDM
8477955,Jared McCann,36,12,0.3333,0.2021,0.4967,78.6,3.1,1.67,SEA
8478020,Michael Amadio,65,12,0.1846,0.1089,0.2955,78.7,-0.4,1.69,OTT
8478414,Timo Meier,104,12,0.1154,0.0672,0.1909,79.3,-0.5,1.79,NJD
8479661,Tanner Jeannot,61,12,0.1967,0.1163,0.3131,77.2,-2.9,1.33,BOS
8481540,Cole Caufield,66,12,0.1818,0.1072,0.2915,80.5,1.4,1.83,MTL
8482109,Alexis Lafrenière,65,12,0.1846,0.1089,0.2955,80.5,-0.3,1.75,NYR
8482110,Dawson Mercer,69,12,0.1739,0.1024,0.2798,79.6,-0.5,1.62,NJD
8482740,Wyatt Johnston,86,12,0.1395,0.0817,0.2282,79.7,0.4,1.6,DAL
8471214,Alex Ovechkin,120,11,0.0917,0.052,0.1567,72.2,3.6,1.97,WSH
8471675,Sidney Crosby,101,11,0.1089,0.0619,0.1846,80.9,2.7,1.61,PIT
8474149,Evgenii Dadonov,55,11,0.2,0.1155,0.3237,81.3,2.1,1.6,NJD
8475184,Chris Kreider,75,11,0.1467,0.0839,0.2438,79.2,1.6,1.68,ANA
8475722,Jason Zucker,75,11,0.1467,0.0839,0.2438,78.6,-0.8,1.76,BUF
8475754,Brock Nelson,97,11,0.1134,0.0645,0.1917,79.2,-0.6,1.47,COL
8476292,Ondrej Palat,68,11,0.1618,0.0928,0.2669,77.8,0.8,1.68,NJD
8476459,Mika Zibanejad,69,11,0.1594,0.0914,0.2633,76.9,0.4,1.64,NYR
8476881,Tomas Hertl,73,11,0.1507,0.0863,0.25,79.8,0.4,1.64,VGK
8477492,Nathan MacKinnon,89,11,0.1236,0.0704,0.2079,78.3,2.5,1.71,COL
8477501,Valeri Nichushkin,71,11,0.1549,0.0888,0.2565,80.2,0.7,1.51,COL
8477511,Anthony Mantha,42,11,0.2619,0.153,0.4107,80.3,1.1,1.83,PIT
8477903,Garnet Hathaway,49,11,0.2245,0.1302,0.3588,79.8,2.0,1.63,PHI
8478366,Frank Vatrano,76,11,0.1447,0.0828,0.2409,76.2,2.9,1.62,ANA
8478413,Jordan Greenway,52,11,0.2115,0.1224,0.3403,77.9,-0.5,1.81,BUF
8478542,Evan Rodrigues,66,11,0.1667,0.0957,0.2743,77.1,2.4,1.71,FLA
8478550,Artemi Panarin,52,11,0.2115,0.1224,0.3403,71.0,7.4,2.17,NYR
8479314,Matthew Tkachuk,90,11,0.1222,0.0696,0.2057,78.8,2.8,1.57,FLA
8479525,Ross Colton,79,11,0.1392,0.0796,0.2324,79.4,1.8,1.58,COL
8479987,Morgan Geekie,43,11,0.2558,0.1493,0.4024,80.3,0.6,1.7,BOS
8480012,Elias Pettersson,55,11,0.2,0.1155,0.3237,80.0,-0.4,1.71,VAN
8480797,Joel Farabee,61,11,0.1803,0.1038,0.2947,80.6,1.1,1.39,CGY
8481559,Jack Hughes,63,11,0.1746,0.1004,0.2862,79.1,1.3,1.43,NJD
8481656,Aliaksei Protas,60,11,0.1833,0.1056,0.2992,80.1,0.6,1.62,WSH
8473422,Nick Foligno,54,10,0.1852,0.1038,0.3084,81.0,1.4,1.35,CHI
8474037,James van Riemsdyk,65,10,0.1538,0.0858,0.2606,79.5,0.7,1.42,DET
8475220,Marcus Foligno,46,10,0.2174,0.1226,0.3557,79.9,1.2,1.78,MIN
8475225,Craig Smith,42,10,0.2381,0.1348,0.3853,78.7,-0.1,2.0,—
8476389,Vincent Trocheck,70,10,0.1429,0.0795,0.2434,81.1,0.4,1.63,NYR
8476539,Jonathan Marchessault,73,10,0.137,0.0761,0.2341,78.2,0.2,1.74,NSH
8476897,Oskar Sundqvist,31,10,0.3226,0.1857,0.4986,79.6,1.4,1.55,STL
8477446,Michael McCarron,55,10,0.1818,0.1019,0.3033,82.1,0.9,1.58,NSH
8477933,Sam Reinhart,89,10,0.1124,0.0622,0.1946,78.2,1.2,1.69,FLA
8477949,Alex Tuch,62,10,0.1613,0.09,0.2721,79.3,0.2,1.94,BUF
8477951,Nick Schmaltz,43,10,0.2326,0.1315,0.3774,78.0,1.0,1.53,UTA
8477960,Adrian Kempe,68,10,0.1471,0.0819,0.25,78.3,-3.2,1.57,LAK
8478047,Michael Bunting,96,10,0.1042,0.0576,0.1812,79.9,0.4,1.54,NSH
8478402,Connor McDavid,109,10,0.0917,0.0506,0.1607,80.2,1.1,1.44,EDM
8478483,Mitch Marner,63,10,0.1587,0.0886,0.2681,74.8,0.2,1.73,VGK
8478891,Mason Appleton,42,10,0.2381,0.1348,0.3853,78.8,-3.5,1.62,DET
8479351,Sam Steel,53,10,0.1887,0.1059,0.3136,79.9,0.4,1.75,DAL
8480014,Gabriel Vilardi,64,10,0.1562,0.0871,0.2643,78.6,0.9,1.52,WPG
8480039,Martin Necas,70,10,0.1429,0.0795,0.2434,77.3,0.6,1.84,COL
8480113,Alex Iafallo,62,10,0.1613,0.09,0.2721,79.6,0.7,1.68,WPG
8480185,Eetu Luostarinen,79,10,0.1266,0.0702,0.2176,79.9,0.4,1.7,FLA
8480220,Noah Cates,52,10,0.1923,0.108,0.319,82.5,-0.2,1.71,PHI
8480801,Brady Tkachuk,108,10,0.0926,0.0511,0.1621,80.8,1.8,1.56,OTT
8480829,Jesperi Kotkaniemi,66,10,0.1515,0.0844,0.2569,80.3,2.8,1.53,CAR
8473512,Claude Giroux,48,9,0.1875,0.1019,0.3194,74.6,-1.0,1.67,OTT
8473533,Jordan Staal,84,9,0.1071,0.0574,0.1912,78.4,2.0,1.5,CAR
8474586,Jordan Eberle,58,9,0.1552,0.0838,0.2693,80.6,-1.4,1.59,SEA
8475170,Brayden Schenn,69,9,0.1304,0.0702,0.2297,79.6,0.7,1.55,STL
8475287,Erik Haula,85,9,0.1059,0.0567,0.1891,79.5,-0.6,1.73,NSH
8475794,Tyler Seguin,52,9,0.1731,0.0938,0.2973,79.7,1.6,1.9,DAL
8476455,Gabriel Landeskog,47,9,0.1915,0.1042,0.3254,80.0,0.4,1.72,COL
8476480,Vladislav Namestnikov,59,9,0.1525,0.0824,0.2652,81.4,-0.1,1.47,WPG
8476921,Jordan Martinook,88,9,0.1023,0.0547,0.1831,79.8,1.7,1.66,CAR
8477416,Oliver Bjorkstrand,59,9,0.1525,0.0824,0.2652,74.5,-0.2,1.51,TBL
8477503,Max Domi,42,9,0.2143,0.1171,0.3594,74.9,0.9,1.86,TOR
8477940,Nikolaj Ehlers,53,9,0.1698,0.092,0.2923,74.7,-1.1,2.04,CAR
8478115,Pierre Engvall,49,9,0.1837,0.0998,0.3136,80.7,-0.3,1.51,—
8478444,Brock Boeser,44,9,0.2045,0.1115,0.345,77.6,1.5,1.68,VAN
8478462,Nicolas Roy,59,9,0.1525,0.0824,0.2652,80.1,-0.8,1.68,TOR
8478463,Anthony Beauvillier,82,9,0.1098,0.0588,0.1956,80.0,-0.7,1.66,WSH
8478856,Conor Garland,53,9,0.1698,0.092,0.2923,80.1,3.1,1.91,VAN
8479066,Ryan Lomberg,56,9,0.1607,0.0869,0.2781,78.6,1.1,1.62,CGY
8479400,Pierre-Luc Dubois,63,9,0.1429,0.077,0.2497,80.2,1.9,1.67,WSH
8479999,Casey Mittelstadt,33,9,0.2727,0.1507,0.4422,78.7,-2.5,1.94,BOS
8480002,Nico Hischier,90,9,0.1,0.0535,0.1792,80.8,0.8,1.51,NJD
8480855,Jack McBain,54,9,0.1667,0.0902,0.2874,82.4,-0.1,1.56,UTA
8481528,Dylan Cozens,86,9,0.1047,0.056,0.1871,79.5,-0.1,1.58,OTT
8481554,Kaapo Kakko,67,9,0.1343,0.0723,0.236,77.1,0.7,1.88,SEA
8481557,Matt Boldy,58,9,0.1552,0.0838,0.2693,79.7,-1.3,1.84,MIN
8481596,Shane Pinto,54,9,0.1667,0.0902,0.2874,80.1,-1.1,1.52,OTT
8482078,Lucas Raymond,48,9,0.1875,0.1019,0.3194,78.6,0.5,1.75,DET
8470621,Corey Perry,57,8,0.1404,0.0729,0.2532,80.5,-1.2,1.7,LAK
8473986,Alex Killorn,52,8,0.1538,0.0801,0.2752,81.5,-1.5,1.6,ANA
8474009,Nick Bonino,39,8,0.2051,0.1078,0.3553,79.8,-3.6,1.54,—
8474150,Mikael Backlund,88,8,0.0909,0.0468,0.1693,77.6,2.2,1.61,CGY
8474679,Gustav Nyquist,40,8,0.2,0.105,0.3476,80.1,2.8,1.48,WPG
8475168,Matt Duchene,55,8,0.1455,0.0756,0.2616,77.4,-4.3,1.75,DAL
8475172,Nazem Kadri,71,8,0.1127,0.0582,0.2069,79.9,2.1,1.45,CGY
8475191,Reilly Smith,74,8,0.1081,0.0558,0.1991,79.2,-2.4,1.62,VGK
8475193,Tomas Tatar,50,8,0.16,0.0834,0.2851,78.8,0.5,1.68,—
8475343,Nic Dowd,50,8,0.16,0.0834,0.2851,80.5,0.5,1.64,WSH
8475760,Nick Bjugstad,59,8,0.1356,0.0703,0.2454,81.2,1.9,1.69,STL
8475765,Vladimir Tarasenko,54,8,0.1481,0.077,0.266,77.4,0.3,1.69,MIN
8475798,Mikael Granlund,51,8,0.1569,0.0817,0.2801,81.0,0.5,1.55,ANA
8475810,Bryan Rust,91,8,0.0879,0.0452,0.164,79.8,0.6,1.57,PIT
8476346,Johnny Gaudreau,37,8,0.2162,0.1139,0.372,83.2,1.5,1.38,—
8476438,Brandon Saad,59,8,0.1356,0.0703,0.2454,81.4,0.7,1.59,VGK
8476448,William Karlsson,54,8,0.1481,0.077,0.266,78.4,0.7,1.76,VGK
8476458,Ryan Strome,71,8,0.1127,0.0582,0.2069,80.0,1.7,1.69,ANA
8476624,Barclay Goodrow,59,8,0.1356,0.0703,0.2454,79.4,-1.3,1.53,SJS
8476872,Scott Laughton,42,8,0.1905,0.0998,0.333,79.5,2.0,1.62,TOR
8477444,Andre Burakovsky,34,8,0.2353,0.1244,0.4,76.9,0.1,1.41,CHI
8477451,Ryan Hartman,74,8,0.1081,0.0558,0.1991,78.8,-1.4,1.57,MIN
8477456,J.T. Compher,51,8,0.1569,0.0817,0.2801,79.0,1.5,1.51,DET
8478042,Viktor Arvidsson,76,8,0.1053,0.0543,0.1942,76.2,3.3,1.83,BOS
8478434,Keegan Kolesar,49,8,0.1633,0.0851,0.2904,78.0,-1.2,1.63,VGK
8478438,Tommy Novak,28,8,0.2857,0.1525,0.4706,79.2,2.0,1.75,PIT
8478474,Lawson Crouse,72,8,0.1111,0.0574,0.2042,79.5,0.3,1.51,UTA
8478508,Yakov Trenin,75,8,0.1067,0.055,0.1966,79.4,-0.7,1.55,MIN
8478873,Troy Terry,71,8,0.1127,0.0582,0.2069,74.8,1.5,1.7,ANA
8478904,Steven Lorentz,58,8,0.1379,0.0716,0.2493,77.1,3.7,1.55,TOR
8479337,Alex DeBrincat,79,8,0.1013,0.0522,0.1873,75.3,1.1,1.76,DET
8479353,Brett Howden,53,8,0.1509,0.0785,0.2705,79.7,-0.0,1.81,VGK
8479370,Tyson Jost,49,8,0.1633,0.0851,0.2904,80.7,-0.2,1.39,NSH
8479414,Nathan Bastian,55,8,0.1455,0.0756,0.2616,78.6,2.1,1.67,DAL
8479420,Tage Thompson,72,8,0.1111,0.0574,0.2042,75.4,0.2,1.86,BUF
8479941,Justin Danforth,36,8,0.2222,0.1172,0.3809,81.2,0.5,1.69,BUF
8480023,Robert Thomas,62,8,0.129,0.0669,0.2345,79.2,0.7,1.58,STL
8480064,Josh Norris,39,8,0.2051,0.1078,0.3553,77.4,0.1,1.77,BUF
8480188,Fabian Zetterlund,61,8,0.1311,0.068,0.238,78.0,-0.1,1.72,OTT
8480830,Andrei Svechnikov,84,8,0.0952,0.0491,0.1768,79.2,2.2,1.5,CAR
8481068,Yegor Sharangovich,64,8,0.125,0.0647,0.2277,78.1,-0.2,1.69,CGY
8481477,Nico Sturm,40,8,0.2,0.105,0.3476,79.8,1.8,1.55,MIN
8481481,Blake Lizotte,47,8,0.1702,0.0889,0.3014,79.9,-0.2,1.6,PIT
8481618,Alex Newhook,46,8,0.1739,0.0909,0.3072,78.9,-2.0,1.72,MTL
8482055,Drew O'Connor,76,8,0.1053,0.0543,0.1942,79.8,0.7,1.61,VAN
8482074,Connor Zary,30,8,0.2667,0.1418,0.4445,81.1,0.7,1.87,CGY
8482149,Cole Perfetti,34,8,0.2353,0.1244,0.4,77.0,2.9,1.79,WPG
8482702,Logan Stankoven,46,8,0.1739,0.0909,0.3072,82.5,0.4,1.52,CAR
8482745,Mason McTavish,58,8,0.1379,0.0716,0.2493,79.4,1.2,1.67,ANA
8471669,Paul Stastny,37,7,0.1892,0.0948,0.3421,80.4,-1.8,1.57,—
8474034,Patrick Maroon,40,7,0.175,0.0875,0.3195,80.4,0.6,1.48,—
8474102,David Perron,47,7,0.1489,0.0741,0.2769,79.2,0.1,1.7,OTT
8474641,Adam Henrique,70,7,0.1,0.0493,0.1923,78.9,-1.2,1.66,EDM
8474884,Mike Hoffman,25,7,0.28,0.1428,0.4758,78.2,3.4,1.64,—
8475169,Evander Kane,88,7,0.0795,0.0391,0.1552,78.7,-0.3,1.61,VAN
8475793,Ryan Johansen,25,7,0.28,0.1428,0.4758,79.8,2.3,1.72,—
8475848,Brendan Gallagher,71,7,0.0986,0.0486,0.1898,80.8,-0.3,1.65,MTL
8476456,Jonathan Huberdeau,55,7,0.1273,0.063,0.2402,78.5,1.2,1.75,CGY
8476483,Rickard Rakell,84,7,0.0833,0.041,0.1622,78.3,0.9,1.81,PIT
8476918,Jimmy Vesey,43,7,0.1628,0.0812,0.2997,79.5,-0.0,1.7,—
8477402,Pavel Buchnevich,49,7,0.1429,0.071,0.2667,79.7,-0.6,1.71,STL
8477426,Nick Paul,65,7,0.1077,0.0532,0.206,76.1,2.5,1.8,TBL
8477478,William Carrier,69,7,0.1014,0.05,0.1949,79.7,2.8,1.68,CAR
8477947,Sonny Milano,24,7,0.2917,0.1491,0.4917,80.6,2.7,1.67,WSH
8477952,Robby Fabbri,47,7,0.1489,0.0741,0.2769,78.9,0.6,1.55,STL
8478067,Oskar Lindblom,26,7,0.2692,0.137,0.4608,78.5,0.9,1.42,—
8478445,Mathew Barzal,56,7,0.125,0.0619,0.2363,78.7,-2.5,1.32,NYI
8478569,Noel Acciari,45,7,0.1556,0.0775,0.2878,79.0,0.8,1.78,PIT
8478864,Kirill Kaprizov,67,7,0.1045,0.0515,0.2003,79.9,1.1,1.76,MIN
8479343,Clayton Keller,59,7,0.1186,0.0587,0.2252,79.7,1.3,1.68,UTA
8479344,Jesse Puljujarvi,52,7,0.1346,0.0668,0.2527,79.8,-1.9,1.56,—
8479385,Jordan Kyrou,49,7,0.1429,0.071,0.2667,77.3,-2.9,1.94,STL
8480003,Jesper Boqvist,35,7,0.2,0.1004,0.3589,78.2,0.5,1.51,FLA
8480009,Eeli Tolvanen,48,7,0.1458,0.0725,0.2717,75.9,4.1,1.79,SEA
8480069,Cale Makar,33,7,0.2121,0.1068,0.3775,66.2,-4.7,1.88,COL
8480078,Filip Chytil,41,7,0.1707,0.0853,0.3126,79.3,0.3,1.78,VAN
8480289,Morgan Barron,47,7,0.1489,0.0741,0.2769,81.4,0.5,1.49,WPG
8480893,Kirill Marchenko,42,7,0.1667,0.0832,0.306,77.1,0.8,1.67,CBJ
8481533,Trevor Zegras,46,7,0.1522,0.0757,0.2822,78.4,3.2,1.96,PHI
8482093,Seth Jarvis,68,7,0.1029,0.0508,0.1976,81.6,1.2,1.68,CAR
8482157,Will Cuylle,54,7,0.1296,0.0642,0.2442,79.2,-1.2,1.78,NYR
8482175,JJ Peterka,45,7,0.1556,0.0775,0.2878,78.8,-0.2,1.91,UTA
8482720,Matthew Knies,41,7,0.1707,0.0853,0.3126,80.1,1.4,1.78,TOR
8483431,Logan Cooley,28,7,0.25,0.1268,0.4336,81.7,0.7,1.82,UTA
8470604,Jeff Carter,39,6,0.1538,0.0725,0.2973,79.4,1.1,1.49,—
8470610,Zach Parise,48,6,0.125,0.0586,0.247,76.5,0.1,1.46,—
8474053,Logan Couture,31,6,0.1935,0.0919,0.3628,78.1,-1.1,1.52,—
8474870,Tyler Johnson,32,6,0.1875,0.0889,0.3531,78.6,0.2,1.75,—
8475231,Casey Cizikas,67,6,0.0896,0.0417,0.1819,80.1,-0.1,1.45,NYI
8475763,Kevin Hayes,58,6,0.1034,0.0483,0.2079,80.4,2.5,1.6,PIT
8476461,Sean Couturier,61,6,0.0984,0.0459,0.1984,79.0,-0.3,1.69,PHI
8476822,Luke Glendening,40,6,0.15,0.0706,0.2907,82.0,-0.1,1.45,NJD
8476873,Mark Jankowski,36,6,0.1667,0.0787,0.3189,79.7,-0.4,1.83,CAR
8476889,Radek Faksa,52,6,0.1154,0.054,0.2297,81.4,-0.4,1.6,DAL
8476892,Colton Parayko,27,6,0.2222,0.1061,0.4076,66.9,-7.1,2.04,STL
8476925,Colton Sissons,45,6,0.1333,0.0626,0.2618,81.0,1.3,1.42,VGK
8477015,Connor Brown,58,6,0.1034,0.0483,0.2079,79.5,0.2,1.71,NJD
8477021,Alexander Kerfoot,50,6,0.12,0.0562,0.2381,81.0,2.1,1.58,UTA
8477407,Anthony Duclair,51,6,0.1176,0.055,0.2338,77.8,-4.2,1.71,NYI
8477425,Miles Wood,49,6,0.1224,0.0573,0.2424,79.3,0.7,1.49,CBJ
8477429,Andrew Copp,76,6,0.0789,0.0367,0.1617,81.9,0.5,1.5,DET
8477496,Elias Lindholm,63,6,0.0952,0.0444,0.1926,77.6,-2.0,1.43,BOS
8477508,Curtis Lazar,43,6,0.1395,0.0656,0.2726,80.8,-1.2,1.56,EDM
8477839,Conor Sheary,43,6,0.1395,0.0656,0.2726,77.6,3.7,1.7,NYR
8478401,Pavel Zacha,50,6,0.12,0.0562,0.2381,78.2,-0.0,1.68,BOS
8478421,A.J. Greer,54,6,0.1111,0.0519,0.2219,81.4,2.3,1.74,FLA
8478432,Christian Fischer,34,6,0.1765,0.0835,0.3351,80.7,3.3,1.62,—
8478439,Travis Konecny,60,6,0.1,0.0466,0.2015,75.9,2.7,1.77,PHI
8478975,Mason Marchment,57,6,0.1053,0.0491,0.2112,77.8,-1.8,1.72,CBJ
8479293,Brandon Tanev,41,6,0.1463,0.0688,0.2844,80.9,2.0,1.32,UTA
