season,team,gp,points,points_pct,wins,reg_wins,goal_diff
20202021,COL,56,82,0.7321,39,35,64
20202021,VGK,56,82,0.7321,40,30,67
20202021,CAR,56,80,0.7143,36,27,43
20202021,FLA,56,79,0.7054,37,26,36
20202021,PIT,56,77,0.6875,37,29,40
20202021,TOR,56,77,0.6875,35,29,39
20202021,WSH,56,77,0.6875,36,29,28
20202021,TBL,56,75,0.6696,36,29,34
20202021,MIN,56,75,0.6696,35,27,21
20202021,BOS,56,73,0.6518,33,25,32
20202021,EDM,56,72,0.6429,35,31,29
20202021,NYI,56,71,0.6339,32,24,28
20202021,NSH,56,64,0.5714,31,21,2
20202021,WPG,56,63,0.5625,30,24,16
20202021,STL,56,63,0.5625,27,19,-1
20202021,NYR,56,60,0.5357,27,24,20
20202021,DAL,56,60,0.5357,23,17,4
20202021,MTL,56,59,0.5268,24,20,-9
20202021,PHI,56,58,0.5179,25,17,-38
20202021,CGY,56,55,0.4911,26,22,-5
20202021,CHI,56,55,0.4911,24,15,-25
20202021,ARI,56,54,0.4821,24,19,-23
20202021,OTT,56,51,0.4554,23,18,-33
20202021,VAN,56,50,0.4464,23,17,-37
20202021,LAK,56,49,0.4375,21,19,-27
20202021,SJS,56,49,0.4375,21,15,-48
20202021,DET,56,48,0.4286,19,16,-44
20202021,CBJ,56,48,0.4286,18,12,-50
20202021,NJD,56,45,0.4018,19,15,-49
20202021,ANA,56,43,0.3839,17,11,-53
20202021,BUF,56,37,0.3304,15,11,-61
20212022,FLA,82,122,0.7439,58,42,94
20212022,COL,82,119,0.7256,56,46,78
20212022,CAR,82,116,0.7073,54,47,76
20212022,TOR,82,115,0.7012,54,45,62
20212022,MIN,82,113,0.689,53,37,57
20212022,CGY,82,111,0.6768,50,44,85
20212022,NYR,82,110,0.6707,52,44,47
20212022,TBL,82,110,0.6707,51,39,54
20212022,STL,82,109,0.6646,49,43,69
20212022,BOS,82,107,0.6524,51,40,35
20212022,EDM,82,104,0.6341,49,38,38
20212022,PIT,82,103,0.628,46,37,43
20212022,WSH,82,100,0.6098,44,35,30
20212022,LAK,82,99,0.6037,44,35,3
20212022,DAL,82,98,0.5976,46,31,-8
20212022,NSH,82,97,0.5915,45,35,14
20212022,VGK,82,94,0.5732,43,34,18
20212022,VAN,82,92,0.561,40,32,13
20212022,WPG,82,89,0.5427,39,32,-5
20212022,NYI,82,84,0.5122,37,34,-6
20212022,CBJ,82,81,0.4939,37,26,-38
20212022,SJS,82,77,0.4695,32,22,-50
20212022,ANA,82,76,0.4634,31,22,-39
20212022,BUF,82,75,0.4573,32,25,-58
20212022,DET,82,74,0.4512,32,21,-82
20212022,OTT,82,73,0.4451,33,26,-39
20212022,CHI,82,68,0.4146,28,16,-72
20212022,NJD,82,63,0.3841,27,19,-59
20212022,PHI,82,61,0.372,25,20,-87
20212022,SEA,82,60,0.3659,27,23,-69
20212022,ARI,82,57,0.3476,25,18,-106
20212022,MTL,82,55,0.3354,22,16,-98
20222023,BOS,82,135,0.8232,65,54,128
20222023,CAR,82,113,0.689,52,39,53
20222023,NJD,82,112,0.6829,52,39,65
20222023,TOR,82,111,0.6768,50,42,57
20222023,VGK,82,111,0.6768,51,38,43
20222023,EDM,82,109,0.6646,50,45,65
20222023,DAL,82,108,0.6585,47,39,67
20222023,COL,81,107,0.6605,50,35,53
20222023,NYR,82,107,0.6524,47,37,58
20222023,LAK,82,104,0.6341,47,37,23
20222023,MIN,82,103,0.628,46,34,21
20222023,SEA,82,100,0.6098,46,37,33
20222023,TBL,82,98,0.5976,46,38,29
20222023,WPG,82,95,0.5793,46,36,22
20222023,NYI,82,93,0.5671,42,36,21
20222023,CGY,82,93,0.5671,38,31,8
20222023,NSH,81,92,0.5679,42,29,-8
20222023,FLA,82,92,0.561,42,36,17
20222023,PIT,82,91,0.5549,40,31,-2
20222023,BUF,81,89,0.5494,41,29,-7
20222023,OTT,82,86,0.5244,39,31,-10
20222023,VAN,82,83,0.5061,38,24,-22
20222023,STL,82,81,0.4939,37,27,-38
20222023,DET,82,80,0.4878,35,28,-39
20222023,WSH,82,80,0.4878,35,27,-10
20222023,PHI,82,75,0.4573,31,26,-55
20222023,ARI,82,70,0.4268,28,20,-71
20222023,MTL,82,68,0.4146,31,21,-75
20222023,SJS,82,60,0.3659,22,16,-87
20222023,CBJ,81,59,0.3642,25,15,-113
20222023,CHI,82,59,0.3598,26,18,-97
20222023,ANA,82,58,0.3537,23,13,-129
20232024,NYR,82,114,0.6951,55,43,53
20232024,DAL,82,113,0.689,52,40,64
20232024,CAR,82,111,0.6768,52,44,63
20232024,WPG,82,110,0.6707,52,46,60
20232024,FLA,82,110,0.6707,52,42,68
20232024,VAN,82,109,0.6646,50,44,56
20232024,BOS,82,109,0.6646,47,36,43
20232024,COL,82,107,0.6524,50,42,50
20232024,EDM,82,104,0.6341,49,39,57
20232024,TOR,82,102,0.622,46,33,40
20232024,NSH,82,99,0.6037,47,38,21
20232024,LAK,82,99,0.6037,44,37,41
20232024,TBL,82,98,0.5976,45,37,23
20232024,VGK,82,98,0.5976,45,34,22
20232024,NYI,82,94,0.5732,39,29,-17
20232024,STL,82,92,0.561,43,31,-11
20232024,WSH,82,91,0.5549,40,32,-37
20232024,DET,82,91,0.5549,41,27,4
20232024,PIT,82,88,0.5366,38,32,4
20232024,MIN,82,87,0.5305,39,32,-12
20232024,PHI,82,87,0.5305,38,30,-26
20232024,BUF,82,84,0.5122,39,33,2
20232024,NJD,82,81,0.4939,38,33,-19
20232024,CGY,82,81,0.4939,38,32,-18
20232024,SEA,82,81,0.4939,34,28,-19
20232024,OTT,82,78,0.4756,37,25,-26
20232024,ARI,82,77,0.4695,36,28,-18
20232024,MTL,82,76,0.4634,30,20,-53
20232024,CBJ,82,66,0.4024,27,21,-63
20232024,ANA,82,59,0.3598,27,21,-91
20232024,CHI,82,52,0.3171,23,17,-111
20232024,SJS,82,47,0.2866,19,14,-150
20242025,WPG,82,116,0.7073,56,43,86
20242025,WSH,82,111,0.6768,51,43,56
20242025,VGK,82,110,0.6707,50,46,56
20242025,TOR,82,108,0.6585,52,41,37
20242025,DAL,82,106,0.6463,50,41,53
20242025,LAK,82,105,0.6402,48,43,44
20242025,TBL,82,102,0.622,47,41,75
20242025,COL,82,102,0.622,49,40,43
20242025,EDM,82,101,0.6159,48,36,23
20242025,CAR,82,99,0.6037,47,42,33
20242025,FLA,82,98,0.5976,47,37,29
20242025,OTT,82,97,0.5915,45,35,9
20242025,MIN,82,97,0.5915,45,33,-11
20242025,STL,82,96,0.5854,44,32,21
20242025,CGY,82,96,0.5854,41,31,-13
20242025,NJD,82,91,0.5549,42,36,20
20242025,MTL,82,91,0.5549,40,30,-20
20242025,VAN,82,90,0.5488,38,28,-17
20242025,UTA,82,89,0.5427,38,30,-10
20242025,CBJ,82,89,0.5427,40,30,5
20242025,DET,82,86,0.5244,39,30,-21
20242025,NYR,82,85,0.5183,39,35,1
20242025,NYI,82,82,0.5,35,28,-36
20242025,PIT,82,80,0.4878,34,24,-50
20242025,ANA,82,80,0.4878,35,24,-42
20242025,BUF,82,79,0.4817,36,29,-20
20242025,SEA,82,76,0.4634,35,28,-18
20242025,BOS,82,76,0.4634,33,26,-50
20242025,PHI,82,76,0.4634,33,21,-48
20242025,NSH,82,68,0.4146,30,24,-60
20242025,CHI,82,61,0.372,25,20,-70
20242025,SJS,82,52,0.3171,20,14,-105
