xb,yb,shots,goals,save_pct,is_inflection
-100,-25,14,0,1.0,0
-100,-20,11,0,1.0,0
-100,-15,15,0,1.0,0
-100,-10,36,0,1.0,0
-100,-5,47,0,1.0,0
-100,0,47,0,1.0,0
-100,5,35,0,1.0,0
-100,10,30,0,1.0,0
-100,15,21,0,1.0,0
-100,20,7,0,1.0,0
-100,25,5,0,1.0,0
-95,-35,13,0,1.0,0
-95,-30,47,0,1.0,0
-95,-25,54,0,1.0,0
-95,-20,49,0,1.0,0
-95,-15,53,0,1.0,0
-95,-10,33,0,1.0,0
-95,-5,9,0,1.0,0
-95,0,9,0,1.0,0
-95,5,54,0,1.0,0
-95,10,52,0,1.0,0
-95,15,78,0,1.0,0
-95,20,69,0,1.0,0
-95,25,68,0,1.0,0
-95,30,28,0,1.0,0
-90,-40,10,0,1.0,0
-90,-35,66,0,1.0,0
-90,-30,64,0,1.0,0
-90,-25,54,0,1.0,0
-90,-20,52,0,1.0,0
-90,-15,31,0,1.0,0
-90,-10,14,0,1.0,0
-90,-5,4,0,1.0,0
-90,0,1,0,1.0,0
-90,5,15,0,1.0,0
-90,10,23,0,1.0,0
-90,15,31,0,1.0,0
-90,20,74,0,1.0,0
-90,25,70,0,1.0,0
-90,30,70,0,1.0,0
-90,35,18,0,1.0,0
-85,-40,56,0,1.0,0
-85,-35,51,0,1.0,0
-85,-30,48,0,1.0,0
-85,-25,34,0,1.0,0
-85,-20,28,0,1.0,0
-85,-15,24,0,1.0,0
-85,-10,18,0,1.0,0
-85,-5,21,0,1.0,0
-85,0,24,0,1.0,0
-85,5,14,0,1.0,0
-85,10,17,0,1.0,0
-85,15,27,0,1.0,0
-85,20,48,0,1.0,0
-85,25,38,0,1.0,0
-85,30,68,0,1.0,0
-85,35,80,0,1.0,0
-85,40,2,0,1.0,0
-80,-45,1,0,1.0,0
-80,-40,77,0,1.0,0
-80,-35,52,0,1.0,0
-80,-30,44,0,1.0,0
-80,-25,15,0,1.0,0
-80,-20,25,0,1.0,0
-80,-15,34,0,1.0,0
-80,-10,31,0,1.0,0
-80,-5,36,0,1.0,0
-80,0,46,0,1.0,0
-80,5,24,0,1.0,0
-80,10,27,0,1.0,0
-80,15,22,0,1.0,0
-80,20,28,0,1.0,0
-80,25,37,0,1.0,0
-80,30,39,0,1.0,0
-80,35,75,0,1.0,0
-80,40,21,0,1.0,0
-75,-45,14,0,1.0,0
-75,-40,73,0,1.0,0
-75,-35,33,0,1.0,0
-75,-30,24,0,1.0,0
-75,-25,23,0,1.0,0
-75,-20,18,0,1.0,0
-75,-15,24,0,1.0,0
-75,-10,25,0,1.0,0
-75,-5,38,0,1.0,0
-75,0,47,0,1.0,0
-75,5,21,0,1.0,0
-75,10,25,0,1.0,0
-75,15,21,0,1.0,0
-75,20,17,0,1.0,0
-75,25,26,0,1.0,0
-75,30,33,0,1.0,0
-75,35,70,0,1.0,0
-75,40,37,0,1.0,0
-70,-45,21,0,1.0,0
-70,-40,81,0,1.0,0
-70,-35,31,0,1.0,0
-70,-30,21,0,1.0,0
-70,-25,27,0,1.0,0
-70,-20,30,0,1.0,0
-70,-15,22,0,1.0,0
-70,-10,25,0,1.0,0
-70,-5,47,0,1.0,0
-70,0,53,0,1.0,0
-70,5,32,0,1.0,0
-70,10,24,0,1.0,0
-70,15,24,0,1.0,0
-70,20,46,0,1.0,0
-70,25,21,0,1.0,0
-70,30,32,0,1.0,0
-70,35,91,0,1.0,0
-70,40,53,0,1.0,0
-65,-45,18,0,1.0,0
-65,-40,71,0,1.0,0
-65,-35,39,0,1.0,0
-65,-30,32,0,1.0,0
-65,-25,24,0,1.0,0
-65,-20,17,0,1.0,0
-65,-15,20,0,1.0,0
-65,-10,22,0,1.0,0
-65,-5,22,0,1.0,0
-65,0,37,0,1.0,0
-65,5,30,0,1.0,0
-65,10,15,0,1.0,0
-65,15,18,0,1.0,0
-65,20,19,0,1.0,0
-65,25,18,0,1.0,0
-65,30,20,0,1.0,0
-65,35,77,0,1.0,0
-65,40,44,0,1.0,0
-60,-45,12,0,1.0,0
-60,-40,77,0,1.0,0
-60,-35,45,0,1.0,0
-60,-30,24,0,1.0,0
-60,-25,21,0,1.0,0
-60,-20,19,0,1.0,0
-60,-15,19,0,1.0,0
-60,-10,30,0,1.0,0
-60,-5,27,0,1.0,0
-60,0,34,0,1.0,0
-60,5,23,0,1.0,0
-60,10,21,0,1.0,0
-60,15,24,0,1.0,0
-60,20,27,1,0.962962962962963,0
-60,25,28,0,1.0,0
-60,30,27,0,1.0,0
-60,35,59,0,1.0,0
-60,40,40,0,1.0,0
-55,-45,14,0,1.0,0
-55,-40,71,0,1.0,0
-55,-35,34,0,1.0,0
-55,-30,23,0,1.0,0
-55,-25,27,0,1.0,0
-55,-20,22,0,1.0,0
-55,-15,22,0,1.0,0
-55,-10,17,0,1.0,0
-55,-5,25,0,1.0,0
-55,0,25,0,1.0,0
-55,5,22,0,1.0,0
-55,10,13,0,1.0,0
-55,15,33,0,1.0,0
-55,20,23,0,1.0,0
-55,25,31,0,1.0,0
-55,30,30,0,1.0,0
-55,35,61,1,0.9836065573770492,0
-55,40,37,0,1.0,0
-50,-45,24,0,1.0,0
-50,-40,58,0,1.0,0
-50,-35,31,0,1.0,0
-50,-30,25,0,1.0,0
-50,-25,32,0,1.0,0
-50,-20,17,0,1.0,0
-50,-15,20,0,1.0,0
-50,-10,20,0,1.0,0
-50,-5,18,0,1.0,0
-50,0,34,0,1.0,0
-50,5,23,0,1.0,0
-50,10,15,0,1.0,0
-50,15,15,0,1.0,0
-50,20,15,0,1.0,0
-50,25,27,0,1.0,0
-50,30,27,0,1.0,0
-50,35,60,0,1.0,0
-50,40,36,0,1.0,0
-45,-45,9,0,1.0,0
-45,-40,59,1,0.9830508474576272,0
-45,-35,32,0,1.0,0
-45,-30,22,0,1.0,0
-45,-25,21,1,0.9523809523809524,0
-45,-20,21,0,1.0,0
-45,-15,12,1,0.9166666666666666,0
-45,-10,12,0,1.0,0
-45,-5,18,0,1.0,0
-45,0,32,0,1.0,0
-45,5,17,0,1.0,0
-45,10,16,0,1.0,0
-45,15,13,0,1.0,0
-45,20,22,0,1.0,0
-45,25,30,1,0.9666666666666668,0
-45,30,33,0,1.0,0
-45,35,50,0,1.0,0
-45,40,22,0,1.0,0
-40,-45,11,0,1.0,0
-40,-40,53,0,1.0,0
-40,-35,32,0,1.0,0
-40,-30,19,0,1.0,0
-40,-25,28,0,1.0,0
-40,-20,18,0,1.0,0
-40,-15,15,0,1.0,0
-40,-10,17,0,1.0,0
-40,-5,12,0,1.0,0
-40,0,31,0,1.0,0
-40,5,20,0,1.0,0
-40,10,21,0,1.0,0
-40,15,18,0,1.0,0
-40,20,17,0,1.0,0
-40,25,23,0,1.0,0
-40,30,25,0,1.0,0
-40,35,53,0,1.0,0
-40,40,26,0,1.0,0
-35,-45,4,0,1.0,0
-35,-40,49,0,1.0,0
-35,-35,29,0,1.0,0
-35,-30,21,0,1.0,0
-35,-25,17,0,1.0,0
-35,-20,20,0,1.0,0
-35,-15,20,0,1.0,0
-35,-10,17,0,1.0,0
-35,-5,27,0,1.0,0
-35,0,23,0,1.0,0
-35,5,9,0,1.0,0
-35,10,20,0,1.0,0
-35,15,22,0,1.0,0
-35,20,19,0,1.0,0
-35,25,26,0,1.0,0
-35,30,36,0,1.0,0
-35,35,50,0,1.0,0
-35,40,21,0,1.0,0
-30,-45,3,0,1.0,0
-30,-40,40,0,1.0,0
-30,-35,25,0,1.0,0
-30,-30,16,0,1.0,0
-30,-25,12,0,1.0,0
-30,-20,14,0,1.0,0
-30,-15,6,0,1.0,0
-30,-10,14,0,1.0,0
-30,-5,16,0,1.0,0
-30,0,23,0,1.0,0
-30,5,9,0,1.0,0
-30,10,17,0,1.0,0
-30,15,7,0,1.0,0
-30,20,17,0,1.0,0
-30,25,16,0,1.0,0
-30,30,24,0,1.0,0
-30,35,32,0,1.0,0
-30,40,9,0,1.0,0
-25,-45,5,0,1.0,0
-25,-40,32,0,1.0,0
-25,-35,28,0,1.0,0
-25,-30,12,0,1.0,0
-25,-25,11,0,1.0,0
-25,-20,12,0,1.0,0
-25,-15,18,0,1.0,0
-25,-10,9,0,1.0,0
-25,-5,27,1,0.962962962962963,0
-25,0,17,0,1.0,0
-25,5,10,0,1.0,0
-25,10,14,0,1.0,0
-25,15,12,0,1.0,0
-25,20,15,0,1.0,0
-25,25,13,0,1.0,0
-25,30,25,0,1.0,0
-25,35,37,0,1.0,0
-25,40,15,0,1.0,0
-20,-45,5,0,1.0,0
-20,-40,54,0,1.0,0
-20,-35,27,0,1.0,0
-20,-30,28,0,1.0,0
-20,-25,18,0,1.0,0
-20,-20,14,0,1.0,0
-20,-15,10,0,1.0,0
-20,-10,17,0,1.0,0
-20,-5,17,0,1.0,0
-20,0,21,0,1.0,0
-20,5,15,0,1.0,0
-20,10,16,0,1.0,0
-20,15,15,0,1.0,0
-20,20,23,0,1.0,0
-20,25,25,0,1.0,0
-20,30,23,0,1.0,0
-20,35,48,0,1.0,0
-20,40,12,0,1.0,0
-15,-45,7,0,1.0,0
-15,-40,46,0,1.0,0
-15,-35,21,0,1.0,0
-15,-30,22,0,1.0,0
-15,-25,16,0,1.0,0
-15,-20,10,0,1.0,0
-15,-15,13,0,1.0,0
-15,-10,11,0,1.0,0
-15,-5,11,0,1.0,0
-15,0,15,0,1.0,0
-15,5,9,0,1.0,0
-15,10,13,0,1.0,0
-15,15,15,0,1.0,0
-15,20,12,0,1.0,0
-15,25,34,0,1.0,0
-15,30,32,0,1.0,0
-15,35,45,0,1.0,0
-15,40,11,0,1.0,0
-10,-45,8,0,1.0,0
-10,-40,93,0,1.0,0
-10,-35,41,0,1.0,0
-10,-30,39,0,1.0,0
-10,-25,33,0,1.0,0
-10,-20,21,0,1.0,0
-10,-15,23,0,1.0,0
-10,-10,20,0,1.0,0
-10,-5,31,0,1.0,0
-10,0,36,0,1.0,0
-10,5,17,0,1.0,0
-10,10,19,0,1.0,0
-10,15,17,0,1.0,0
-10,20,21,0,1.0,0
-10,25,24,0,1.0,0
-10,30,47,0,1.0,0
-10,35,85,0,1.0,0
-10,40,35,0,1.0,0
-5,-45,29,0,1.0,0
-5,-40,199,0,1.0,0
-5,-35,98,1,0.9897959183673468,0
-5,-30,76,0,1.0,0
-5,-25,74,0,1.0,0
-5,-20,60,0,1.0,0
-5,-15,46,0,1.0,0
-5,-10,50,0,1.0,0
-5,-5,71,0,1.0,0
-5,0,108,0,1.0,0
-5,5,63,0,1.0,0
-5,10,64,0,1.0,0
-5,15,60,0,1.0,0
-5,20,56,0,1.0,0
-5,25,68,0,1.0,0
-5,30,87,0,1.0,0
-5,35,179,1,0.994413407821229,0
-5,40,94,1,0.9893617021276596,0
0,-45,46,0,1.0,0
0,-40,271,1,0.996309963099631,0
0,-35,155,1,0.9935483870967742,0
0,-30,98,1,0.9897959183673468,0
0,-25,93,0,1.0,0
0,-20,95,0,1.0,0
0,-15,119,0,1.0,0
0,-10,87,0,1.0,0
0,-5,162,0,1.0,0
0,0,172,1,0.994186046511628,0
0,5,106,0,1.0,0
0,10,100,0,1.0,0
0,15,97,0,1.0,0
0,20,86,0,1.0,0
0,25,108,0,1.0,0
0,30,167,0,1.0,0
0,35,317,0,1.0,0
0,40,128,0,1.0,0
5,-45,22,0,1.0,0
5,-40,199,0,1.0,0
5,-35,141,0,1.0,0
5,-30,100,0,1.0,0
5,-25,92,0,1.0,0
5,-20,84,1,0.988095238095238,0
5,-15,97,0,1.0,0
5,-10,84,0,1.0,0
5,-5,133,0,1.0,0
5,0,159,0,1.0,0
5,5,97,0,1.0,0
5,10,84,0,1.0,0
5,15,101,0,1.0,0
5,20,85,1,0.9882352941176472,0
5,25,78,0,1.0,0
5,30,144,0,1.0,0
5,35,216,1,0.9953703703703703,0
5,40,76,0,1.0,0
10,-45,21,0,1.0,0
10,-40,171,0,1.0,0
10,-35,146,0,1.0,0
10,-30,113,0,1.0,0
10,-25,89,0,1.0,0
10,-20,71,0,1.0,0
10,-15,63,0,1.0,0
10,-10,81,0,1.0,0
10,-5,109,0,1.0,0
10,0,161,0,1.0,0
10,5,73,0,1.0,0
10,10,90,0,1.0,0
10,15,92,0,1.0,0
10,20,88,0,1.0,0
10,25,109,0,1.0,0
10,30,121,0,1.0,0
10,35,182,1,0.9945054945054944,0
10,40,69,0,1.0,0
15,-45,22,0,1.0,0
15,-40,171,0,1.0,0
15,-35,134,0,1.0,0
15,-30,76,0,1.0,0
15,-25,68,0,1.0,0
15,-20,66,0,1.0,0
15,-15,61,1,0.9836065573770492,0
15,-10,83,0,1.0,0
15,-5,130,1,0.9923076923076924,0
15,0,172,1,0.994186046511628,0
15,5,92,0,1.0,0
15,10,76,0,1.0,0
15,15,67,0,1.0,0
15,20,79,0,1.0,0
15,25,87,0,1.0,0
15,30,119,0,1.0,0
15,35,180,1,0.9944444444444444,0
15,40,55,0,1.0,0
20,-45,14,0,1.0,0
20,-40,174,1,0.9942528735632185,0
20,-35,111,0,1.0,0
20,-30,73,0,1.0,0
20,-25,66,0,1.0,0
20,-20,77,0,1.0,0
20,-15,60,0,1.0,0
20,-10,78,0,1.0,0
20,-5,125,0,1.0,0
20,0,212,1,0.9952830188679244,0
20,5,113,0,1.0,0
20,10,76,0,1.0,0
20,15,77,0,1.0,0
20,20,68,0,1.0,0
20,25,82,0,1.0,0
20,30,106,0,1.0,0
20,35,171,0,1.0,0
20,40,55,0,1.0,0
25,-45,51,0,1.0,0
25,-40,517,4,0.9922630560928434,0
25,-35,515,8,0.9844660194174756,0
25,-30,489,9,0.98159509202454,0
25,-25,382,10,0.9738219895287958,0
25,-20,338,13,0.9615384615384616,0
25,-15,342,12,0.9649122807017544,0
25,-10,323,9,0.9721362229102168,0
25,-5,394,8,0.9796954314720812,0
25,0,431,9,0.9791183294663574,0
25,5,297,8,0.9730639730639732,0
25,10,301,10,0.9667774086378738,0
25,15,313,9,0.9712460063897764,0
25,20,351,11,0.9686609686609686,0
25,25,417,6,0.9856115107913668,0
25,30,511,6,0.9882583170254404,0
25,35,648,5,0.992283950617284,0
25,40,156,0,1.0,0
30,-45,63,0,1.0,0
30,-40,1040,17,0.983653846153846,0
30,-35,1468,45,0.9693460490463216,0
30,-30,1303,28,0.9785111281657712,0
30,-25,1258,27,0.978537360890302,0
30,-20,1167,42,0.9640102827763496,0
30,-15,1113,43,0.9613656783468104,0
30,-10,1088,43,0.9604779411764706,0
30,-5,1412,59,0.9582152974504248,0
30,0,1521,70,0.9539776462853384,0
30,5,1056,44,0.9583333333333334,0
30,10,1022,44,0.9569471624266144,0
30,15,1061,38,0.9641847313854854,0
30,20,1186,43,0.9637436762225968,0
30,25,1206,34,0.9718076285240465,0
30,30,1419,18,0.9873150105708244,0
30,35,1291,28,0.978311386522076,0
30,40,236,4,0.9830508474576272,0
35,-45,71,0,1.0,0
35,-40,888,12,0.9864864864864864,0
35,-35,1509,23,0.9847581179589132,0
35,-30,1680,38,0.9773809523809524,0
35,-25,1629,40,0.9754450583179864,0
35,-20,1413,35,0.9752300070771408,0
35,-15,1252,35,0.9720447284345048,0
35,-10,1205,59,0.9510373443983402,0
35,-5,1674,72,0.956989247311828,0
35,0,1855,93,0.949865229110512,0
35,5,1250,47,0.9624,0
35,10,1192,49,0.9588926174496644,0
35,15,1283,35,0.9727201870615744,0
35,20,1528,44,0.9712041884816754,0
35,25,1580,43,0.9727848101265822,0
35,30,1552,31,0.9800257731958762,0
35,35,1139,16,0.9859525899912204,0
35,40,232,0,1.0,0
40,-45,60,0,1.0,0
40,-40,929,9,0.9903121636167922,0
40,-35,1162,16,0.9862306368330463,0
40,-30,1342,20,0.985096870342772,0
40,-25,1418,46,0.9675599435825106,0
40,-20,1203,42,0.9650872817955112,0
40,-15,1071,49,0.954248366013072,0
40,-10,1026,48,0.953216374269006,0
40,-5,1423,82,0.9423752635277582,0
40,0,1605,81,0.9495327102803738,0
40,5,1162,59,0.9492254733218588,0
40,10,1102,50,0.9546279491833032,0
40,15,1176,41,0.9651360544217688,0
40,20,1421,33,0.9767769176636172,0
40,25,1422,24,0.9831223628691984,0
40,30,1192,26,0.9781879194630873,0
40,35,1105,10,0.990950226244344,0
40,40,228,3,0.986842105263158,0
45,-45,68,2,0.9705882352941176,0
45,-40,926,14,0.9848812095032398,0
45,-35,1103,21,0.9809610154125114,0
45,-30,1260,27,0.9785714285714284,0
45,-25,1397,52,0.9627773801002149,0
45,-20,1360,53,0.961029411764706,0
45,-15,1213,73,0.9398186314921682,0
45,-10,1128,75,0.9335106382978724,0
45,-5,1314,82,0.9375951293759512,0
45,0,1622,126,0.9223181257706536,0
45,5,1170,87,0.9256410256410256,0
45,10,1218,65,0.9466338259441708,0
45,15,1322,61,0.953857791225416,0
45,20,1527,49,0.9679109364767516,0
45,25,1383,32,0.9768618944323934,0
45,30,1141,21,0.98159509202454,0
45,35,1088,20,0.9816176470588236,0
45,40,262,1,0.9961832061068704,0
50,-45,101,3,0.9702970297029704,0
50,-40,897,10,0.9888517279821628,0
50,-35,1285,23,0.982101167315175,0
50,-30,1669,51,0.969442780107849,0
50,-25,2177,109,0.9499310978410656,0
50,-20,1954,141,0.9278403275332652,0
50,-15,1615,118,0.9269349845201238,0
50,-10,1321,130,0.9015897047691144,0
50,-5,1451,129,0.9110957960027568,0
50,0,1732,196,0.8868360277136259,0
50,5,1366,118,0.9136163982430454,0
50,10,1612,130,0.9193548387096774,0
50,15,2079,141,0.9321789321789322,0
50,20,2362,108,0.9542760372565622,0
50,25,1851,68,0.9632631010264722,0
50,30,1327,20,0.9849284099472494,0
50,35,1119,11,0.9901697944593388,0
50,40,282,3,0.9893617021276596,0
55,-45,75,2,0.9733333333333334,0
55,-40,968,23,0.9762396694214877,0
55,-35,1281,23,0.9820452771272444,0
55,-30,1978,61,0.9691607684529828,0
55,-25,2841,152,0.9464977120732136,0
55,-20,2569,209,0.9186453873102376,0
55,-15,2047,186,0.9091353199804592,1
55,-10,1578,199,0.8738910012674271,1
55,-5,1765,225,0.8725212464589235,1
55,0,2053,263,0.8718947881149537,1
55,5,1643,193,0.8825319537431527,1
55,10,2163,219,0.8987517337031901,1
55,15,2745,241,0.9122040072859744,1
55,20,3001,189,0.9370209930023324,0
55,25,2196,84,0.9617486338797814,0
55,30,1449,33,0.9772256728778468,0
55,35,1249,19,0.9847878302642114,0
55,40,270,1,0.9962962962962963,0
60,-45,86,4,0.9534883720930232,0
60,-40,923,19,0.9794149512459372,0
60,-35,1278,17,0.986697965571205,0
60,-30,2034,109,0.9464110127826942,0
60,-25,2788,204,0.926829268292683,0
60,-20,2996,289,0.9035380507343124,0
60,-15,2525,348,0.8621782178217822,1
60,-10,1784,280,0.8430493273542601,1
60,-5,2032,344,0.8307086614173228,1
60,0,2369,406,0.8286196707471507,1
60,5,1753,284,0.8379920136908158,1
60,10,2532,369,0.8542654028436019,1
60,15,3146,346,0.8900190718372536,1
60,20,3007,232,0.9228466910542068,0
60,25,2301,108,0.9530638852672751,0
60,30,1431,37,0.9741439552760308,0
60,35,1172,15,0.9872013651877132,0
60,40,227,2,0.9911894273127754,0
65,-45,73,0,1.0,0
65,-40,797,10,0.9874529485570892,0
65,-35,1006,12,0.9880715705765408,0
65,-30,1793,79,0.9559397657557168,0
65,-25,2821,245,0.913151364764268,0
65,-20,2940,345,0.8826530612244898,0
65,-15,2644,385,0.8543872919818457,0
65,-10,2200,382,0.8263636363636364,0
65,-5,2618,536,0.7952635599694423,0
65,0,3319,646,0.8053630611630009,0
65,5,2218,351,0.8417493237150586,0
65,10,2697,393,0.8542825361512791,0
65,15,3136,391,0.8753188775510204,0
65,20,3093,295,0.9046233430326543,0
65,25,2030,105,0.9482758620689656,0
65,30,1255,24,0.9808764940239044,0
65,35,958,8,0.9916492693110648,0
65,40,233,4,0.9828326180257512,0
70,-45,41,0,1.0,0
70,-40,544,6,0.9889705882352942,0
70,-35,844,20,0.976303317535545,0
70,-30,1294,67,0.9482225656877898,0
70,-25,2102,214,0.8981921979067555,0
70,-20,2667,318,0.8807649043869517,0
70,-15,2729,391,0.8567240747526567,0
70,-10,2629,466,0.8227462913655382,0
70,-5,3851,770,0.8000519345624513,0
70,0,4734,960,0.7972116603295311,0
70,5,2893,516,0.8216384376080194,0
70,10,2857,456,0.8403920196009801,0
70,15,2704,318,0.882396449704142,0
70,20,2129,173,0.9187411930483796,0
70,25,1381,73,0.9471397538015932,0
70,30,910,29,0.968131868131868,0
70,35,705,13,0.9815602836879432,0
70,40,137,1,0.9927007299270072,0
75,-45,15,0,1.0,0
75,-40,378,7,0.9814814814814816,0
75,-35,564,15,0.973404255319149,0
75,-30,960,40,0.9583333333333334,0
75,-25,1569,135,0.9139579349904398,0
75,-20,2185,222,0.8983981693363845,0
75,-15,2964,432,0.854251012145749,0
75,-10,4189,693,0.8345667223681069,0
75,-5,7507,1414,0.8116424670307713,0
75,0,9864,1969,0.8003852392538524,0
75,5,4750,810,0.8294736842105264,0
75,10,3023,425,0.85941118094608,0
75,15,2258,252,0.8883968113374667,0
75,20,1618,105,0.9351050679851668,0
75,25,1027,37,0.9639727361246349,0
75,30,685,16,0.9766423357664232,0
75,35,465,8,0.9827956989247312,0
75,40,47,3,0.9361702127659576,0
80,-40,152,2,0.986842105263158,0
80,-35,425,9,0.9788235294117648,0
80,-30,640,22,0.965625,0
80,-25,1145,74,0.9353711790393012,0
80,-20,1651,140,0.9152029073288916,0
80,-15,2879,350,0.8784300104202848,0
80,-10,6995,1084,0.8450321658327377,0
80,-5,13854,2635,0.8098022231846398,0
80,0,15102,3109,0.794133227387101,0
80,5,7781,1410,0.8187893586942552,0
80,10,2864,349,0.8781424581005587,0
80,15,1754,155,0.911630558722919,0
80,20,1191,62,0.9479429051217464,0
80,25,753,22,0.9707835325365206,0
80,30,538,10,0.9814126394052044,0
80,35,271,8,0.970479704797048,0
80,40,11,0,1.0,0
85,-40,41,0,1.0,0
85,-35,239,9,0.9623430962343096,0
85,-30,364,13,0.9642857142857144,0
85,-25,537,19,0.9646182495344506,0
85,-20,788,54,0.931472081218274,0
85,-15,1318,104,0.921092564491654,0
85,-10,4891,576,0.8822326722551626,0
85,-5,4397,971,0.7791676142824653,0
85,0,2535,847,0.6658777120315582,0
85,5,4542,629,0.8615147512109202,0
85,10,1441,120,0.9167244968771686,0
85,15,806,61,0.924317617866005,0
85,20,633,39,0.9383886255924172,0
85,25,408,12,0.9705882352941176,0
85,30,276,6,0.9782608695652174,0
85,35,111,4,0.963963963963964,0
90,-35,43,1,0.9767441860465116,0
90,-30,90,1,0.9888888888888888,0
90,-25,138,3,0.9782608695652174,0
90,-20,170,10,0.9411764705882352,0
90,-15,246,14,0.943089430894309,0
90,-10,721,57,0.9209431345353676,0
90,-5,330,33,0.9,0
90,0,81,13,0.8395061728395061,0
90,5,667,58,0.9130434782608696,0
90,10,293,17,0.9419795221843004,0
90,15,215,8,0.9627906976744186,0
90,20,179,9,0.9497206703910616,0
90,25,148,5,0.9662162162162162,0
90,30,64,2,0.96875,0
90,35,3,0,1.0,0
95,-30,14,0,1.0,0
95,-25,28,1,0.9642857142857144,0
95,-20,48,3,0.9375,0
95,-15,69,5,0.927536231884058,0
95,-10,126,10,0.9206349206349208,0
95,-5,56,9,0.8392857142857143,0
95,0,19,0,1.0,0
95,5,117,16,0.8632478632478633,0
95,10,98,8,0.9183673469387756,0
95,15,61,2,0.9672131147540984,0
95,20,40,2,0.95,0
95,25,22,2,0.9090909090909092,0
95,40,1,0,1.0,0
