player_name,team,pos,GP,seasons_qualified,IOZC,IOZL,OZI,OZI_C,OZI_L,OZI_CL,DZI,DZI_C,DZI_L,DZI_CL,NZI,NZI_C,NZI_L,NZI_CL,TNZI,TNZI_C,TNZI_L,TNZI_CL,DOZI_23_24,DOZI_24_25,DOZI_25_26,DOZI_trend,DOZI_recent,DOZI_flag
Cam York,PHI,D,276,4,0.7827,0.9094,10.0,9.5,10.0,10.0,7.8,7.6,5.4,5.5,8.0,7.5,5.7,5.8,9.0,9.0,7.4,7.3,0.0649,-0.223,-0.0407,-0.0663,-0.0407,STABLE
Travis Sanheim,PHI,D,325,4,0.7837,0.9281,9.6,9.0,9.7,9.7,8.0,7.7,6.7,6.6,8.2,7.6,4.8,4.9,9.1,9.1,6.7,6.5,0.1254,-0.0993,-0.16,-0.0446,-0.16,DECLINING
Rasmus Andersson,VGK,D,319,4,0.7871,0.8647,9.9,9.0,9.7,9.4,7.3,6.9,5.6,5.4,6.6,5.8,3.4,3.7,8.7,8.7,5.7,5.5,0.0382,0.0477,-0.2558,-0.0566,-0.2558,DECLINING
Justin Braun,PHI,D,51,1,0.783,0.925,9.1,8.6,9.2,9.2,5.3,5.8,2.8,3.5,4.0,5.6,4.9,4.5,5.5,6.0,6.0,6.3,,,,,,
Rasmus Ristolainen,PHI,D,212,4,0.7812,0.8781,9.2,8.8,9.1,9.1,7.0,6.8,5.0,5.0,7.0,6.7,4.6,4.7,8.3,8.4,6.4,6.3,0.0989,-0.0775,0.097,0.0395,0.097,RISING
Mike Reilly,CAR,D,131,2,0.7793,0.806,9.5,9.3,9.0,9.0,6.8,6.6,6.3,6.1,9.0,8.7,6.3,6.3,8.9,9.0,5.3,5.2,,,,,,
Tony DeAngelo,NYI,D,212,4,0.7833,0.8555,9.2,8.7,9.0,8.9,8.7,8.7,5.1,5.4,8.1,7.9,6.4,6.4,7.5,7.6,5.8,5.6,0.0425,0.1554,-0.0704,0.0425,-0.0704,DECLINING
Henri Jokiharju,BOS,D,235,4,0.7807,0.8406,9.0,8.7,8.8,8.8,8.1,8.0,5.9,6.1,6.3,6.0,3.8,3.9,7.9,8.0,5.5,5.4,-0.0329,-0.159,-0.3933,-0.1951,-0.3933,DECLINING
Adam Pelech,NYI,D,261,4,0.7891,0.8278,9.6,8.6,9.2,8.8,8.8,8.7,5.8,6.0,7.5,7.0,6.4,6.4,8.2,8.1,5.0,4.6,0.2101,0.1253,-0.2585,0.0257,-0.2585,DECLINING
Shea Theodore,VGK,D,240,4,0.7915,0.9095,9.2,8.0,9.3,8.8,9.1,8.9,3.0,3.3,9.1,8.7,9.1,9.0,9.1,9.0,8.1,7.8,-0.0627,0.2334,-0.1565,0.0047,-0.1565,DECLINING
Aaron Ekblad,FLA,D,250,4,0.8015,0.9101,9.8,7.7,9.8,8.8,8.4,7.8,4.3,4.1,7.4,6.0,5.4,5.7,8.4,8.2,6.3,5.6,0.1296,-0.0365,-0.1444,-0.0171,-0.1444,DECLINING
Ian Moore,ANA,D,69,1,0.7588,0.7372,8.5,10.0,7.8,8.8,6.3,6.0,5.4,5.2,7.5,7.2,4.0,4.2,7.3,7.7,4.7,5.1,,,,,,
Nick Leddy,SJS,D,223,4,0.7912,0.8725,9.3,8.1,9.2,8.7,8.2,8.0,4.2,4.4,7.6,7.1,4.9,5.0,7.6,7.7,5.1,4.9,0.1351,-0.3922,-0.0571,-0.1047,-0.0571,DECLINING
Brayden McNabb,VGK,D,310,4,0.7921,0.8594,9.4,8.2,9.2,8.7,9.2,9.1,4.3,4.6,9.4,8.9,8.2,8.1,9.2,9.1,7.3,7.1,0.0072,0.139,-0.121,0.0084,-0.121,DECLINING
Nick Seeler,PHI,D,305,4,0.7749,0.8448,8.6,8.8,8.4,8.7,8.2,8.1,6.8,6.9,6.7,6.3,4.0,4.1,7.8,7.9,5.7,5.6,0.0905,-0.0402,-0.2617,-0.0705,-0.2617,DECLINING
Torey Krug,STL,D,140,2,0.7931,0.8323,9.7,8.4,9.4,8.7,7.4,7.2,5.6,5.5,6.4,6.0,3.5,3.7,7.7,7.7,4.8,4.6,-0.0505,,,-0.0505,,
Josh Morrissey,WPG,D,315,4,0.7926,0.8721,9.4,8.1,9.3,8.7,8.6,8.3,6.0,5.9,9.0,8.5,6.5,6.6,8.9,8.9,6.6,6.3,0.0841,0.0178,-0.0936,0.0028,-0.0936,DECLINING
Mark Friedman,VAN,D,51,2,0.789,0.7809,9.9,8.9,9.3,8.7,2.8,3.0,1.2,1.4,6.6,7.2,4.8,4.7,7.3,7.6,5.0,5.0,0.0898,,,0.0898,,
Noah Hanifin,VGK,D,313,4,0.7887,0.8679,9.3,8.3,9.1,8.7,8.7,8.4,6.1,6.1,7.9,7.5,4.7,4.9,8.6,8.6,6.2,6.0,0.0615,-0.0861,-0.1794,-0.068,-0.1794,DECLINING
Mattias Ekholm,EDM,D,303,4,0.8021,0.8744,9.9,7.8,9.7,8.6,9.0,8.5,2.4,2.6,9.4,8.4,10.0,10.0,9.2,9.1,8.4,8.0,-0.0053,-0.0214,0.1792,0.0508,0.1792,RISING
Dylan DeMelo,WPG,D,320,4,0.7898,0.8842,9.0,8.0,9.0,8.6,8.2,7.9,4.7,4.7,8.2,7.8,7.5,7.5,8.5,8.5,7.0,6.7,0.2071,-0.0065,-0.1131,0.0292,-0.1131,DECLINING
Colton Parayko,STL,D,301,4,0.7923,0.8679,9.3,8.1,9.2,8.6,9.0,8.9,6.5,6.7,7.8,7.2,4.5,4.7,8.3,8.3,5.1,4.8,0.1085,-0.2278,0.0075,-0.0372,0.0075,STABLE
Michael Stone,CGY,D,48,1,0.7829,0.8106,9.1,8.7,8.7,8.5,1.6,2.0,4.2,4.2,2.5,3.8,1.6,1.5,4.5,5.0,3.3,3.7,,,,,,
Jared Spurgeon,MIN,D,240,3,0.7858,0.825,9.2,8.5,8.8,8.5,8.6,8.5,3.6,4.0,7.9,7.5,4.8,4.9,9.2,9.2,6.4,6.3,,,0.065,0.065,0.065,RISING
Quinn Hughes,MIN,D,302,4,0.7886,0.8346,9.2,8.2,8.9,8.5,8.8,8.5,7.1,7.0,9.4,8.9,5.0,5.1,8.7,8.7,5.3,5.0,-0.0564,0.0469,-0.1255,-0.045,-0.1255,DECLINING
Michael Kesselring,BUF,D,190,3,0.7849,0.8323,9.0,8.4,8.7,8.5,6.4,5.9,4.3,4.0,8.0,7.5,5.9,6.0,7.8,7.8,5.5,5.1,,-0.0506,-0.1402,-0.0954,-0.1402,DECLINING
MacKenzie Weegar,UTA,D,322,4,0.787,0.8076,9.3,8.5,8.9,8.5,8.7,8.5,8.7,8.6,6.3,5.5,1.4,1.8,8.4,8.4,4.7,4.4,-0.1439,-0.1317,0.0087,-0.089,0.0087,STABLE
Jamie Drysdale,PHI,D,190,3,0.7757,0.8774,8.2,8.4,8.2,8.5,7.3,6.9,5.5,5.3,6.5,5.8,3.7,4.0,8.0,8.0,5.9,5.8,,-0.0208,-0.1477,-0.0843,-0.1477,DECLINING
Gustav Forsling,FLA,D,321,4,0.7988,0.9146,9.3,7.5,9.3,8.5,8.7,8.2,5.5,5.4,7.6,6.6,5.1,5.4,8.3,8.1,6.3,5.7,0.0307,0.1262,-0.2392,-0.0274,-0.2392,DECLINING
Chris Tanev,TOR,D,226,3,0.7951,0.8576,9.3,7.8,9.1,8.4,6.9,6.3,5.2,4.8,4.9,3.7,3.6,4.0,7.9,7.7,5.8,5.2,-0.0289,-0.3254,,-0.1772,-0.3254,DECLINING
Devon Toews,COL,D,305,4,0.7938,0.8515,9.3,8.0,9.1,8.4,9.1,9.0,3.0,3.5,7.1,6.3,5.4,5.6,8.4,8.3,6.3,5.9,-0.1805,0.0676,-0.062,-0.0583,-0.062,DECLINING
Oliver Ekman-Larsson,TOR,D,289,4,0.7849,0.8188,8.9,8.3,8.5,8.3,6.8,6.5,6.4,6.2,6.9,6.3,3.4,3.7,8.2,8.2,5.3,5.0,0.0272,-0.1176,0.0577,-0.0109,0.0577,RISING
Ryan Lindgren,SEA,D,286,4,0.7822,0.8399,8.6,8.2,8.4,8.3,8.0,7.9,3.2,3.6,7.1,6.6,5.5,5.6,8.4,8.4,6.1,5.9,-0.1095,-0.2871,0.0545,-0.114,0.0545,RISING
Derek Forbort,VAN,D,145,3,0.7827,0.7637,9.1,8.7,8.5,8.3,7.4,7.5,6.9,7.1,6.4,6.5,3.6,3.6,7.5,7.7,3.7,3.6,0.3347,-0.1663,,0.0842,-0.1663,DECLINING
Cale Makar,COL,D,291,4,0.7957,0.8798,9.1,7.6,9.0,8.3,9.5,9.3,3.6,4.0,7.7,6.8,4.7,4.9,8.3,8.1,6.4,5.9,-0.1317,0.1511,-0.1744,-0.0517,-0.1744,DECLINING
Evan Bouchard,EDM,D,326,4,0.8005,0.9032,9.2,7.3,9.2,8.3,9.6,9.1,3.9,4.0,10.0,8.8,8.9,9.0,9.3,9.1,8.0,7.4,0.1374,-0.0537,0.1925,0.0921,0.1925,RISING
Rasmus Dahlin,BUF,D,309,4,0.7906,0.7967,9.4,8.3,8.9,8.3,8.5,8.2,6.4,6.3,7.1,6.4,3.9,4.1,8.2,8.2,5.4,5.0,-0.0144,-0.1489,0.0098,-0.0512,0.0098,STABLE
Calen Addison,SJS,D,134,2,0.7913,0.7915,9.5,8.3,8.9,8.3,6.5,6.6,6.4,6.6,7.0,7.1,2.5,2.6,7.6,7.8,3.5,3.5,0.0987,,,0.0987,,
Hampus Lindholm,BOS,D,237,3,0.7921,0.7927,9.6,8.3,9.1,8.3,8.1,8.1,6.5,6.6,8.0,8.0,4.0,4.0,8.4,8.4,4.8,4.6,0.0487,,,0.0487,,
Joshua Brown,EDM,D,129,2,0.7907,0.7949,9.4,8.3,8.9,8.3,6.0,6.1,6.4,6.4,5.2,5.7,4.3,4.2,7.1,7.3,4.6,4.8,-0.1591,,,-0.1591,,
Alex Goligoski,MIN,D,82,2,0.8012,0.8142,9.8,7.8,9.4,8.2,6.4,6.6,4.9,5.2,5.1,5.3,4.7,4.6,5.8,6.0,4.7,4.5,-0.1358,,,-0.1358,,
Justin Faulk,DET,D,298,4,0.7868,0.8407,8.8,8.0,8.5,8.2,8.3,8.2,7.2,7.3,7.4,7.0,3.5,3.7,8.2,8.3,4.8,4.6,-0.0152,-0.0899,0.0287,-0.0254,0.0287,STABLE
Kevin Bahl,CGY,D,273,4,0.788,0.8609,8.7,7.8,8.5,8.2,7.0,6.6,5.4,5.1,6.8,5.8,4.4,4.6,7.9,7.8,5.9,5.5,0.2024,0.1222,-0.3427,-0.006,-0.3427,DECLINING
Nate Schmidt,UTA,D,295,4,0.7845,0.8143,8.8,8.2,8.4,8.2,7.9,7.7,6.1,6.1,8.3,7.8,6.2,6.3,8.1,8.1,5.9,5.6,0.178,-0.0075,-0.1279,0.0142,-0.1279,DECLINING
Filip Hronek,VAN,D,287,4,0.7862,0.8329,8.7,8.0,8.4,8.1,7.8,7.4,4.7,4.7,8.0,7.3,6.3,6.4,7.9,7.9,5.0,4.6,0.341,0.034,-0.1584,0.0722,-0.1584,DECLINING
Robert Bortuzzo,UTA,D,87,2,0.7845,0.805,8.8,8.2,8.4,8.1,5.3,5.4,7.2,7.0,5.0,5.1,4.3,4.3,7.3,7.4,4.5,4.3,0.0436,,,0.0436,,
Logan Mailloux,STL,D,74,1,0.7645,0.8166,7.5,8.6,7.2,8.1,6.5,6.4,4.4,4.5,4.9,4.1,3.4,3.7,4.6,5.1,3.9,4.1,,,,,,
Adam Fox,NYR,D,283,4,0.794,0.8109,9.1,7.8,8.7,8.0,9.2,8.9,6.4,6.5,7.7,7.0,4.8,5.0,8.6,8.5,6.1,5.6,-0.0911,-0.1486,0.0466,-0.0644,0.0466,STABLE
Samuel Girard,PIT,D,268,4,0.7807,0.77,8.7,8.4,8.1,8.0,9.1,9.4,4.9,5.6,7.6,7.5,5.0,5.0,8.4,8.5,6.3,6.3,-0.0953,0.0995,-0.4638,-0.1532,-0.4638,DECLINING
Mikhail Sergachev,UTA,D,267,4,0.7928,0.819,9.1,7.8,8.7,8.0,8.3,8.0,6.5,6.4,8.4,7.8,5.8,5.9,8.9,8.8,5.9,5.6,0.0537,0.1477,-0.2249,-0.0078,-0.2249,DECLINING
Cam Fowler,STL,D,312,4,0.7892,0.7814,9.1,8.1,8.6,8.0,7.7,7.5,6.5,6.5,5.9,5.5,3.0,3.2,7.6,7.7,4.0,3.8,0.0785,-0.1249,-0.0602,-0.0355,-0.0602,DECLINING
Nick DeSimone,UTA,D,97,3,0.7777,0.8102,8.2,8.2,7.9,8.0,5.9,5.7,4.9,4.7,5.9,5.2,4.5,4.7,5.7,5.8,4.3,4.1,,0.1955,-0.0605,0.0675,-0.0605,DECLINING
Ian Cole,UTA,D,319,4,0.7826,0.8203,8.5,8.1,8.2,8.0,9.1,9.1,9.1,9.1,8.4,8.3,4.8,4.8,8.2,8.3,4.9,4.8,0.4312,-0.0122,-0.1706,0.0828,-0.1706,DECLINING
Jake Middleton,MIN,D,301,4,0.7894,0.8481,8.6,7.6,8.4,8.0,9.4,9.4,4.9,5.3,7.4,7.0,5.6,5.7,8.3,8.4,6.9,6.8,0.2916,-0.3676,0.2016,0.0419,0.2016,RISING
Erik Cernak,TBL,D,276,4,0.7901,0.8137,8.9,7.8,8.5,8.0,7.4,7.2,4.6,4.6,7.9,7.6,5.8,5.8,9.0,9.0,6.8,6.6,0.1667,0.0035,-0.1219,0.0161,-0.1219,DECLINING
Noah Juulsen,PHI,D,153,3,0.776,0.8351,7.9,8.1,7.7,8.0,6.1,5.9,5.0,4.8,5.5,5.4,4.0,4.0,6.7,6.9,4.5,4.4,,-0.173,-0.1654,-0.1692,-0.1654,DECLINING
Charlie McAvoy,BOS,D,260,4,0.7936,0.782,9.3,7.9,8.7,7.9,6.9,6.7,6.8,6.5,7.2,6.8,3.9,4.0,8.2,8.1,4.8,4.4,0.0723,-0.1753,-0.0368,-0.0466,-0.0368,STABLE
Denton Mateychuk,CBJ,D,120,2,0.7702,0.8101,7.7,8.4,7.4,7.9,7.9,7.8,2.2,2.6,8.3,7.7,6.9,7.0,7.6,7.7,6.0,5.9,,,0.0904,0.0904,0.0904,RISING
Troy Stecher,TOR,D,265,4,0.776,0.8065,8.1,8.2,7.7,7.9,7.5,7.6,7.0,7.2,8.0,8.1,5.1,5.1,8.1,8.3,5.2,5.4,-0.1088,0.0205,-0.1447,-0.0777,-0.1447,DECLINING
Jon Merrill,MIN,D,208,3,0.7816,0.8089,8.3,8.0,7.9,7.9,7.2,7.4,7.3,7.6,7.2,7.6,3.7,3.6,7.4,7.7,3.8,3.9,0.1955,-0.2485,,-0.0265,-0.2485,DECLINING
Sebastian Aho,NYI,D,129,2,0.7947,0.8194,9.1,7.7,8.7,7.9,5.9,5.9,4.2,4.3,8.7,8.9,7.4,7.3,8.3,8.3,5.9,5.7,0.164,,,0.164,,
Kaedan Korczak,VGK,D,154,3,0.7724,0.849,7.5,8.0,7.4,7.9,7.2,7.1,3.0,3.3,7.8,7.9,7.0,6.9,7.4,7.7,5.5,5.5,,-0.0541,0.0591,0.0025,0.0591,RISING
Emil Andrae,PHI,D,107,2,0.7613,0.8466,6.9,8.3,6.8,7.9,7.2,7.1,6.9,6.9,5.3,4.9,2.8,3.0,7.2,7.4,5.0,5.0,,,-0.0951,-0.0951,-0.0951,DECLINING
Ivan Provorov,CBJ,D,328,4,0.7862,0.8109,8.6,7.9,8.3,7.9,9.1,9.2,5.5,5.9,8.0,7.6,6.0,6.0,8.2,8.2,5.6,5.3,0.0854,-0.2307,-0.1002,-0.0818,-0.1002,DECLINING
John Marino,UTA,D,253,4,0.7924,0.8237,8.9,7.7,8.6,7.9,8.5,8.3,5.8,5.9,8.1,7.5,5.7,5.8,8.3,8.3,5.7,5.4,0.2397,-0.0399,-0.0851,0.0383,-0.0851,DECLINING
Owen Power,BUF,D,315,4,0.7855,0.8185,8.5,7.9,8.2,7.9,8.4,8.3,6.9,7.0,7.3,7.0,3.5,3.6,8.3,8.4,5.3,5.1,0.0375,-0.2049,0.1413,-0.0087,0.1413,RISING
Philip Broberg,STL,D,206,3,0.7806,0.8625,7.8,7.6,7.7,7.8,8.8,8.8,4.9,5.2,8.3,7.8,5.4,5.5,8.5,8.7,5.5,5.5,,,0.1221,0.1221,0.1221,RISING
Dylan Samberg,WPG,D,266,4,0.7845,0.8233,8.3,7.8,8.0,7.8,8.6,8.4,7.5,7.5,8.1,7.6,4.9,5.0,8.3,8.4,5.0,4.9,0.5085,-0.0958,-0.2403,0.0574,-0.2403,DECLINING
Josh Manson,COL,D,230,4,0.7787,0.8078,8.1,8.1,7.8,7.8,8.9,9.0,4.6,5.2,8.2,7.7,5.9,6.0,9.0,9.1,7.1,7.1,0.3271,-0.0868,0.1183,0.1195,0.1183,RISING
Nikita Zadorov,BOS,D,319,4,0.7842,0.8304,8.2,7.7,8.0,7.8,7.1,6.9,7.3,7.0,6.8,6.3,2.5,2.7,8.0,8.1,4.2,4.0,-0.1395,-0.1057,-0.1635,-0.1363,-0.1635,DECLINING
Tyler Myers,DAL,D,299,4,0.79,0.7862,8.9,7.9,8.4,7.8,8.2,8.0,8.2,8.1,7.6,7.3,4.2,4.3,8.5,8.6,4.4,4.2,-0.0308,0.0161,-0.2251,-0.0799,-0.2251,DECLINING
Dmitry Kulikov,FLA,D,232,3,0.7903,0.8402,8.4,7.4,8.2,7.7,7.1,6.9,5.5,5.5,7.3,6.9,4.9,5.0,8.5,8.5,6.0,5.7,0.0807,-0.0448,,0.018,-0.0448,STABLE
Juuso Välimäki,UTA,D,189,3,0.7933,0.8345,8.7,7.4,8.4,7.7,7.8,7.7,8.8,8.7,8.0,7.9,4.9,4.9,8.1,8.2,4.9,4.7,0.0958,-0.071,,0.0124,-0.071,DECLINING
Neal Pionk,WPG,D,284,4,0.7891,0.7866,8.8,7.8,8.3,7.7,7.4,7.2,5.1,5.1,7.9,7.6,6.1,6.1,8.5,8.5,6.0,5.7,0.1601,-0.0116,-0.4446,-0.0987,-0.4446,DECLINING
Brady Skjei,NSH,D,324,4,0.7952,0.7949,9.0,7.6,8.6,7.7,8.5,8.3,6.5,6.5,7.9,7.4,6.0,6.1,8.8,8.8,7.3,7.1,0.0901,-0.1888,0.0304,-0.0228,0.0304,STABLE
Olli Määttä,CGY,D,269,4,0.7843,0.7828,8.4,7.9,7.9,7.7,7.4,7.3,6.7,6.7,7.2,7.1,4.5,4.5,7.9,8.0,4.7,4.5,-0.0304,0.1593,-0.3203,-0.0638,-0.3203,DECLINING
Brock Faber,MIN,D,242,3,0.7882,0.8629,8.2,7.3,8.1,7.7,9.6,9.3,3.5,3.8,8.1,7.2,6.3,6.4,8.7,8.7,7.2,6.9,,-0.2535,0.0724,-0.0905,0.0724,RISING
Brandt Clarke,LAK,D,184,2,0.7724,0.7514,8.1,8.5,7.4,7.7,8.8,8.5,6.8,6.8,8.4,8.0,4.5,4.6,8.4,8.5,5.2,5.1,,,0.1717,0.1717,0.1717,RISING
Brent Burns,COL,D,327,4,0.7923,0.8179,8.6,7.4,8.2,7.6,8.2,8.0,4.0,4.2,9.1,8.7,9.6,9.5,9.7,9.7,10.0,10.0,0.0678,-0.1526,0.1106,0.0086,0.1106,RISING
Marc-Edouard Vlasic,SJS,D,162,3,0.7933,0.7211,9.3,8.0,8.5,7.6,7.1,7.1,8.9,8.8,6.0,6.1,0.5,0.7,7.6,7.8,2.9,2.9,0.0206,-0.4835,,-0.2315,-0.4835,DECLINING
Erik Brannstrom,VAN,D,178,3,0.7887,0.7525,8.8,7.9,8.1,7.6,7.7,7.8,7.8,8.0,7.2,7.5,4.0,3.9,7.8,7.9,4.9,4.8,0.25,-0.0951,,0.0774,-0.0951,DECLINING
Jonas Brodin,MIN,D,234,4,0.7932,0.826,8.6,7.4,8.3,7.6,9.2,9.0,5.1,5.3,8.2,7.3,5.8,6.0,9.4,9.3,6.9,6.6,0.1463,-0.2116,-0.0641,-0.0431,-0.0641,DECLINING
